model,sample_id,step,amount,z1,z2
AE,115,2,2,-3.8322701,-7.0436077
AE,115,3,3,-4.265634,-7.464895
AE,116,0,0,-2.023848,-0.48371637
AE,116,1,1,-1.6881086,-0.56661916
AE,116,2,2,-1.4246339,-0.50085723
AE,116,3,3,-1.2747703,-0.42405188
AE,117,0,0,1.0792258,-0.044039976
AE,117,1,1,-1.1380849,2.13592
AE,117,2,2,-1.0648459,1.3361222
AE,117,3,3,-1.4070636,0.65840125
AE,118,0,0,-2.8825667,1.2307312
AE,118,1,1,-1.3310783,0.5243306
AE,118,2,2,-1.0530977,0.33745348
AE,118,3,3,-1.0147252,0.2088539
AE,119,0,0,-3.5750828,2.760227
AE,119,1,1,-1.5325216,2.1195068
AE,119,2,2,-1.0758843,1.4108739
AE,119,3,3,-1.0229344,0.9761205
AE,120,0,0,0.1352633,-0.8488635
AE,120,1,1,-1.519568,-2.8158627
AE,120,2,2,-2.3078408,-5.0975976
AE,120,3,3,-2.7865791,-5.400727
AE,121,0,0,0.27637526,-0.17900893
AE,121,1,1,-0.30462945,-0.6870078
AE,121,2,2,-0.9115613,-0.42559558
AE,121,3,3,-1.1157287,-0.5386924
AE,122,0,0,0.098644905,-1.7123647
AE,122,1,1,-0.7158689,-1.3949616
AE,122,2,2,-1.1507201,-1.899373
AE,122,3,3,-1.4275432,-1.8197556
AE,123,0,0,0.33347142,-0.65016854
AE,123,1,1,-0.2002212,-0.78178275
AE,123,2,2,-1.2714361,-2.4285362
AE,123,3,3,-2.1141798,-2.5371573
AE,124,0,0,0.84213006,-2.013633
AE,124,1,1,1.0814407,-4.850005
AE,124,2,2,0.58474183,-6.176585
AE,124,3,3,-2.381614,-2.5690944
AE,125,0,0,-0.045034118,1.3762376
AE,125,1,1,-1.2854722,2.4765458
AE,125,2,2,-1.1044786,1.8794628
AE,125,3,3,-1.0874571,1.4689931
AE,126,0,0,0.3180618,-2.2111955
AE,126,1,1,-0.40583855,-2.214881
AE,126,2,2,-1.1908092,-3.332344
AE,126,3,3,-1.7185379,-3.6060996
AE,127,0,0,-2.8106697,1.843977
AE,127,1,1,-1.1814758,0.8967409
AE,127,2,2,-0.982211,0.58819884
AE,127,3,3,-0.9779753,0.34756127
AE,128,0,0,1.0413451,-1.7183342
AE,128,1,1,0.7824633,-3.6204686
AE,128,2,2,-1.4810398,-2.3563676
AE,128,3,3,-2.120036,-1.6112615
AE,129,0,0,0.22252446,0.14807035
AE,129,1,1,-0.54897946,0.0096019525
AE,129,2,2,-0.92659336,0.104458846
AE,129,3,3,-1.2796448,-0.09189573
AE,130,0,0,0.18290664,-1.7302593
AE,130,1,1,-0.7836115,-2.8480287
AE,130,2,2,-2.0467167,-4.5398126
AE,130,3,3,-2.9779298,-5.660779
AE,131,0,0,0.59733623,0.81614023
AE,131,1,1,0.55970985,-1.8845451
AE,131,2,2,-1.1571233,1.7342825
AE,131,3,3,-1.359258,0.80847454
AE,132,0,0,0.86661315,-5.464694
AE,132,1,1,-0.6099966,-7.8460226
AE,132,2,2,-2.119903,-8.10951
AE,132,3,3,-2.9570284,-8.206902
AE,133,0,0,-0.03877696,-7.2063603
AE,133,1,1,-1.3838633,-7.8785768
AE,133,2,2,-2.5091934,-8.041026
AE,133,3,3,-2.90768,-7.951958
AE,134,0,0,1.7291684,0.36681026
AE,134,1,1,-0.05907525,1.1348407
AE,134,2,2,-1.2272437,2.0664818
AE,134,3,3,-1.4453564,1.519896
AE,135,0,0,0.5457726,-3.8463285
AE,135,1,1,2.8118496,-1.4880401
AE,135,2,2,0.097541794,1.7972265
AE,135,3,3,-1.3345405,1.473117
AE,136,0,0,0.8573617,-0.5782931
AE,136,1,1,-0.7489715,1.15591
