[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  EPOCHS = 3000
  SEED = 0
  NOISE_P = 0.3
  N_EXPERTS = 4
  TOP_K = 4
  LAMBDA_MOE = 0.01

split：train 987 / val 123 / test 123

epoch  610 | train_nll -1.28675 | train_fsce 0.74106 | train_moe 1.00000 | val_dev 0.76867
epoch  615 | train_nll -1.27898 | train_fsce 0.72201 | train_moe 1.00000 | val_dev 0.78198
epoch  620 | train_nll -1.27174 | train_fsce 0.73584 | train_moe 1.00000 | val_dev 0.79038
epoch  625 | train_nll -1.28652 | train_fsce 0.65298 | train_moe 1.00000 | val_dev 0.75331
epoch  630 | train_nll -1.29021 | train_fsce 0.67849 | train_moe 1.00000 | val_dev 0.75032
epoch  635 | train_nll -1.27786 | train_fsce 0.69599 | train_moe 1.00000 | val_dev 0.75150
epoch  640 | train_nll -1.26386 | train_fsce 0.66327 | train_moe 1.00000 | val_dev 0.74822
epoch  645 | train_nll -1.28150 | train_fsce 0.67511 | train_moe 1.00000 | val_dev 0.73829
epoch  650 | train_nll -1.28275 | train_fsce 0.69472 | train_moe 1.00000 | val_dev 0.74140
epoch  655 | train_nll -1.29011 | train_fsce 0.66682 | train_moe 1.00000 | val_dev 0.74805
epoch  660 | train_nll -1.29691 | train_fsce 0.65399 | train_moe 1.00000 | val_dev 0.74683
epoch  665 | train_nll -1.28813 | train_fsce 0.66325 | train_moe 1.00000 | val_dev 0.74418
epoch  670 | train_nll -1.28610 | train_fsce 0.71878 | train_moe 1.00000 | val_dev 0.77467
epoch  675 | train_nll -1.29615 | train_fsce 0.71376 | train_moe 1.00000 | val_dev 0.75036
epoch  680 | train_nll -1.30007 | train_fsce 0.69258 | train_moe 1.00000 | val_dev 0.74141
epoch  685 | train_nll -1.29755 | train_fsce 0.65930 | train_moe 1.00000 | val_dev 0.73290
epoch  690 | train_nll -1.29235 | train_fsce 0.64023 | train_moe 1.00000 | val_dev 0.72173
epoch  695 | train_nll -1.29276 | train_fsce 0.64885 | train_moe 1.00000 | val_dev 0.73966
epoch  700 | train_nll -1.30126 | train_fsce 0.66075 | train_moe 1.00000 | val_dev 0.73437
epoch  705 | train_nll -1.29376 | train_fsce 0.69116 | train_moe 1.00000 | val_dev 0.73138
epoch  710 | train_nll -1.29446 | train_fsce 0.69110 | train_moe 1.00000 | val_dev 0.74197
epoch  715 | train_nll -1.30016 | train_fsce 0.67341 | train_moe 1.00000 | val_dev 0.73574
epoch  720 | train_nll -1.28787 | train_fsce 0.64903 | train_moe 1.00000 | val_dev 0.72836
epoch  725 | train_nll -1.29425 | train_fsce 0.66335 | train_moe 1.00000 | val_dev 0.72889
epoch  730 | train_nll -1.29763 | train_fsce 0.64230 | train_moe 1.00000 | val_dev 0.71783
epoch  735 | train_nll -1.30314 | train_fsce 0.67386 | train_moe 1.00000 | val_dev 0.73199
epoch  740 | train_nll -1.29779 | train_fsce 0.65025 | train_moe 1.00000 | val_dev 0.72546
epoch  745 | train_nll -1.27189 | train_fsce 0.68855 | train_moe 1.00000 | val_dev 0.73343
epoch  750 | train_nll -1.28401 | train_fsce 0.68532 | train_moe 1.00000 | val_dev 0.73371
epoch  755 | train_nll -1.29732 | train_fsce 0.68689 | train_moe 1.00000 | val_dev 0.73179
epoch  760 | train_nll -1.29749 | train_fsce 0.67733 | train_moe 1.00000 | val_dev 0.72697
epoch  765 | train_nll -1.28785 | train_fsce 0.72498 | train_moe 1.00000 | val_dev 0.72752
epoch  770 | train_nll -1.28805 | train_fsce 0.72262 | train_moe 1.00000 | val_dev 0.73648
epoch  775 | train_nll -1.27571 | train_fsce 0.69592 | train_moe 1.00000 | val_dev 0.76844
epoch  780 | train_nll -1.28745 | train_fsce 0.73068 | train_moe 1.00000 | val_dev 0.74245
epoch  785 | train_nll -1.28825 | train_fsce 0.69130 | train_moe 1.00000 | val_dev 0.72467
epoch  790 | train_nll -1.29473 | train_fsce 0.69473 | train_moe 1.00000 | val_dev 0.75087
epoch  795 | train_nll -1.28595 | train_fsce 0.75247 | train_moe 1.00000 | val_dev 0.73361
epoch  800 | train_nll -1.29054 | train_fsce 0.70166 | train_moe 1.00000 | val_dev 0.74254
epoch  805 | train_nll -1.28727 | train_fsce 0.65831 | train_moe 1.00000 | val_dev 0.73808
epoch  810 | train_nll -1.29996 | train_fsce 0.64750 | train_moe 1.00000 | val_dev 0.75422
epoch  815 | train_nll -1.29391 | train_fsce 0.68551 | train_moe 1.00000 | val_dev 0.73499
epoch  820 | train_nll -1.28727 | train_fsce 0.70074 | train_moe 1.00000 | val_dev 0.73953
epoch  825 | train_nll -1.29085 | train_fsce 0.65288 | train_moe 1.00000 | val_dev 0.74178
epoch  830 | train_nll -1.27945 | train_fsce 0.69680 | train_moe 1.00000 | val_dev 0.77001
epoch  835 | train_nll -1.24865 | train_fsce 0.81255 | train_moe 1.00000 | val_dev 0.81385
epoch  840 | train_nll -1.25908 | train_fsce 0.77706 | train_moe 1.00000 | val_dev 0.75617
