z1,z2,cluster_before,cluster_after
0.15391379594802856,-0.09894725680351257,0,6
0.39762941002845764,-3.1129026412963867,0,1
-1.7710336446762085,1.4343178272247314,4,7
-1.382577657699585,-4.216134548187256,0,0
-0.8501957058906555,-4.626799583435059,3,7
0.7851959466934204,-1.127186894416809,3,1
-0.5311543345451355,2.4045794010162354,6,5
0.5141311883926392,0.7820543050765991,3,6
-0.42347124218940735,2.4201653003692627,6,3
0.33171892166137695,0.9088425040245056,0,6
-0.23632648587226868,-4.305891990661621,2,2
-2.4549505710601807,-1.3470828533172607,7,7
-0.7190361022949219,-1.496766209602356,2,2
0.9335203170776367,1.406660795211792,3,6
-0.84539794921875,0.5116293430328369,4,6
0.5895872116088867,0.8882789015769958,7,6
-1.3239107131958008,2.295171022415161,7,7
0.6442362070083618,1.527443766593933,3,6
0.005485006142407656,1.2279025316238403,4,6
-2.915494918823242,2.8713951110839844,5,3
-1.2246886491775513,0.30635929107666016,4,6
-0.8107005953788757,0.15089482069015503,4,3
-0.3098209798336029,0.010994842275977135,2,6
0.3269135057926178,-3.6268444061279297,2,2
-1.7005960941314697,-4.2868499755859375,0,0
-1.6298614740371704,0.8600191473960876,4,7
-3.288527250289917,3.452566385269165,5,5
-2.5424811840057373,-0.1560179740190506,7,7
-0.06382054090499878,-0.7282057404518127,2,3
-2.2641756534576416,1.8971660137176514,2,2
-1.1192517280578613,-3.1612510681152344,7,2
0.2745065987110138,-4.370412349700928,2,2
-1.4793455600738525,1.1573344469070435,7,3
-4.729752540588379,0.7842070460319519,4,3
-2.4213428497314453,2.805542230606079,5,3
-0.5661940574645996,-5.0438761711120605,0,2
-1.190138816833496,-2.0219674110412598,2,2
-1.6822031736373901,-0.15098705887794495,4,7
-0.4927005171775818,-1.4424282312393188,2,2
-1.7732384204864502,2.13602614402771,7,2
-0.5386553406715393,0.15100078284740448,4,6
1.192164421081543,-1.9144060611724854,1,2
-2.546922206878662,2.499058723449707,5,5
-1.4180463552474976,3.070168972015381,6,2
-1.6487295627593994,1.11129891872406,5,5
0.5308696031570435,-2.5542593002319336,2,1
-1.8085397481918335,0.06047702208161354,7,7
-0.5928457975387573,2.378728151321411,3,6
1.3604915142059326,-3.112199068069458,2,2
-3.04073429107666,-1.4776055812835693,7,2
-0.45359504222869873,0.6306954622268677,4,6
-1.2148367166519165,3.60001277923584,6,5
2.119481325149536,-3.8097169399261475,1,2
-6.494777202606201,1.01515531539917,4,6
-2.1595940589904785,1.6474502086639404,2,2
-1.2923871278762817,1.5574452877044678,4,6
-1.3240513801574707,0.4865730106830597,4,6
0.1770414113998413,-0.07134617865085602,4,6
1.6919989585876465,-3.567573308944702,1,1
0.24806931614875793,-2.45913028717041,0,1
-2.605613946914673,-1.7476801872253418,7,2
0.9304754137992859,-0.5701571702957153,3,0
1.9397199153900146,-1.089499592781067,6,2
0.6415666937828064,0.3051143288612366,7,2
-0.6861879229545593,-1.3538002967834473,2,2
-1.6843844652175903,-2.8460237979888916,0,2
-1.5004340410232544,3.1404006481170654,6,5
0.6015260815620422,-4.374054908752441,0,1
-0.03436664491891861,-1.4781591892242432,2,3
-3.2717642784118652,1.873591661453247,2,4
-0.3409879803657532,-2.078169822692871,2,2
-0.7190361022949219,-1.496766209602356,2,2
-0.39548298716545105,0.04250995069742203,4,6
-2.340669631958008,0.7927651405334473,7,3
0.545168936252594,-3.77807879447937,0,2
-3.417630195617676,5.267263889312744,5,5
-0.9281947016716003,0.2832806408405304,4,6
-0.7190361022949219,-1.496766209602356,2,2
-1.5599855184555054,0.30897489190101624,7,7
0.6883978247642517,-5.108789443969727,2,2
-2.4165806770324707,0.8486199975013733,5,3
-2.0081095695495605,2.2608835697174072,5,5
-0.47113633155822754,-0.7206209301948547,4,6
-0.37141817808151245,-0.3995164930820465,4,6
-1.6558812856674194,0.7717145681381226,5,3
-0.42796164751052856,-1.6744990348815918,2,2
-2.6332852840423584,-2.249711036682129,7,2
0.44253239035606384,-2.1770689487457275,0,1
-0.6476709842681885,-6.145101070404053,0,0
-0.9083901047706604,1.2437037229537964,5,5
-2.50864839553833,2.932016134262085,5,5
-4.1202545166015625,4.228025913238525,5,5
-0.15497823059558868,1.3596277236938477,4,6
-0.8317331671714783,1.3665670156478882,5,6
-0.5366169214248657,-1.175298810005188,2,1
-1.6924858093261719,2.266005754470825,2,2
-2.1207947731018066,-5.273130416870117,0,0
-0.1529615968465805,-1.1573597192764282,2,1
-1.614054560661316,-2.928962230682373,7,2
-0.08633384853601456,-2.0531094074249268,0,3
-2.633631467819214,-3.425684690475464,3,3
-4.661671161651611,3.15478515625,5,5
-0.9639323353767395,3.082806348800659,6,2
2.043433427810669,-3.6374988555908203,2,1
2.8718831539154053,-3.42751407623291,1,1
1.7285434007644653,1.9506936073303223,1,6
-0.3690991699695587,-3.6414666175842285,7,2
-2.771759510040283,-3.296281099319458,0,0
1.445165753364563,-1.5700408220291138,2,2
1.6573762893676758,-1.3906289339065552,3,1
0.5965916514396667,0.0902206301689148,3,7
-1.7098956108093262,-0.04101639240980148,7,7
-1.0798356533050537,2.3872430324554443,3,0
1.3525855541229248,-4.271738052368164,2,3
1.2365262508392334,-4.765225887298584,0,1
0.44735705852508545,-3.0009567737579346,4,1
-2.2613301277160645,-1.227960467338562,7,2
-4.643069267272949,-1.015069603919983,6,4
