n_poi,n_cat,entropy,dominance
17,5,1.1185405956431655,0.6470588235294118
12,4,0.8369882167858358,0.75
13,5,1.4791328074296435,0.38461538461538464
13,3,0.8981370031878679,0.5384615384615384
11,5,1.515707952085713,0.36363636363636365
10,6,1.6957425341696346,0.3
12,6,1.4735023850806486,0.5
13,4,1.2658567518727373,0.38461538461538464
26,6,1.171860997255315,0.5769230769230769
52,5,1.0013297003374961,0.6153846153846154
21,4,1.089871122271088,0.47619047619047616
23,6,1.5641908713675923,0.391304347826087
19,7,1.7673779345300193,0.3157894736842105
14,3,0.7589367727620595,0.7142857142857143
27,4,1.1378936743311243,0.5185185185185185
20,6,1.6088829638639006,0.35
16,4,1.18030455699462,0.5
16,6,1.6347589244440104,0.375
